,Train RMSE,Validation RMSE,Train MAPE,Validation MAPE
0,8.725525,8.668116,0.32386183738708496,0.9679676294326782
1,8.824709,8.654875,0.3222970763842265,0.9618166983127594
2,8.72348,8.603554,0.32015007734298706,0.9568944275379181
3,8.494064,8.589479,0.31851210196812946,0.954971194267273
4,8.498727,8.412509,0.31806711355845135,0.9520822465419769
5,8.612814,8.447036,0.31799495220184326,0.9500598311424255
6,8.157039,8.492201,0.3141872485478719,0.9484899044036865
7,8.355765,8.507647,0.3149877190589905,0.9463807642459869
8,8.506743,8.394181,0.3156513174374898,0.9433331489562988
9,8.242327,8.47354,0.31356968482335407,0.9412081837654114
10,8.360857,8.378681,0.3132405678431193,0.9380393028259277
11,8.190047,8.329585,0.31087279319763184,0.934712827205658
12,8.262336,8.348002,0.3116542100906372,0.931510865688324
13,8.253314,8.275315,0.3102677861849467,0.9275750815868378
14,8.072102,8.303374,0.30665449301401776,0.9239766001701355
15,8.232254,8.218151,0.306177020072937,0.9191261231899261
16,8.151326,8.2932205,0.3054213921229045,0.9148687720298767
17,8.145551,8.096762,0.3048327366511027,0.9076460599899292
18,8.01248,8.124136,0.3020900885264079,0.9033737480640411
19,7.9805136,7.9794765,0.2995363076527913,0.8952622711658478
20,7.7451277,8.001252,0.29426578680674237,0.888810783624649
21,8.226675,7.9237766,0.2982201377550761,0.8808657824993134
22,7.688637,7.8043337,0.293684442838033,0.8708909153938293
23,7.6346893,7.7762375,0.28931353489557904,0.8627482056617737
24,7.714088,7.62389,0.2870229085286458,0.851704329252243
25,7.6439657,7.5943336,0.28331583738327026,0.8409206867218018
26,7.1435738,7.3956122,0.2686058282852173,0.8266012370586395
27,7.5046396,7.2146187,0.2751316825548808,0.8110828697681427
28,7.168962,7.1436615,0.26432959238688153,0.7959778606891632
29,7.195169,7.0011907,0.2649860382080078,0.7798015773296356
30,7.043688,6.928371,0.2587868372599284,0.7638104259967804
31,6.8778796,6.613811,0.25095287958780926,0.734491765499115
