,No. Neurons,Epoch,Train MAPE,Train RMSE,Train R2
0,1,0,1.034635106722514,23.061144,-25.13777764638265
1,1,1,1.0322678089141846,24.416185,-69.56219959259033
2,1,2,1.033260981241862,24.047232,-17.10983657836914
3,1,3,1.0338352918624878,23.145172,-42.25430456797282
4,1,4,1.0327068567276,23.75427,-57.39240805308024
5,1,5,1.031423012415568,24.953909,-21.73618507385254
6,1,6,1.031798005104065,24.70511,-17.080060323079426
7,1,7,1.0331392685572307,23.255552,-31.96890862782796
8,1,8,1.033149520556132,23.227129,-26.320621172587078
9,1,9,1.032173752784729,23.989225,-17.731332778930664
10,1,10,1.0314790805180867,24.50486,-16.919723828633625
11,1,11,1.0321433544158936,23.436737,-62.27931308746338
12,1,12,1.0328412453333538,23.58558,-15.220927238464355
13,1,13,1.0330702463785808,22.799925,-26.838965098063152
14,1,14,1.03273610273997,23.130524,-19.96215565999349
15,1,15,1.0306483507156372,24.276213,-28.75705115000407
16,1,16,1.0323539177576702,23.457785,-16.47203795115153
17,1,17,1.031492551167806,24.272055,-14.569815317789713
18,1,18,1.030428449312846,24.83756,-16.646244049072266
19,1,19,1.0296655495961506,25.016098,-17.908233006795246
20,1,20,1.0311168432235718,23.40454,-26.39814027150472
21,1,21,1.0318375428517659,22.781145,-31.61124324798584
22,1,22,1.030387322107951,23.819445,-21.37753677368164
23,1,23,1.0302679538726807,23.479574,-168.04565270741782
24,1,24,1.0280530055363972,25.973478,-20.550016403198242
25,1,25,1.0300753513971965,23.873816,-17.280997276306152
26,1,26,1.0306413968404133,23.082739,-28.577202161153156
27,1,27,1.0278596083323162,25.575209,-23.53743553161621
28,1,28,1.0301417509714763,23.92511,-16.85366439819336
29,1,29,1.0296638409296672,24.387259,-15.090532938639322
30,1,30,1.028665026028951,24.25105,-22.18695576985677
31,1,31,1.0295512676239014,23.875244,-17.10894552866618
32,1,32,1.0288417339324951,24.20326,-16.342187881469727
33,1,33,1.0270111958185832,26.02012,-17.90849431355794
34,1,34,1.0293721755345662,23.103022,-30.12031141916911
35,1,35,1.0284696817398071,24.025553,-19.24444580078125
36,1,36,1.0274217526117961,25.21466,-16.396936416625977
37,1,37,1.0278835693995159,24.107267,-20.68907292683919
38,1,38,1.0279455582300823,24.076883,-17.35155423482259
39,1,39,1.0267017285029094,25.065292,-21.614369710286457
40,1,40,1.0270458062489827,24.767218,-16.74423344930013
41,1,41,1.0274073680241902,24.039087,-21.474884033203125
42,1,42,1.0286387999852498,23.060057,-19.387219111124676
43,1,43,1.026586373647054,24.397562,-28.803914705912273
44,1,44,1.0273569424947102,23.651443,-22.052743275960285
45,1,45,1.0259044567743938,25.054169,-20.3645814259847
46,1,46,1.0261378288269043,24.472902,-27.02587095896403
47,1,47,1.0261387427647908,24.667944,-17.992806752522785
48,1,48,1.0256764888763428,24.688883,-25.061039606730144
49,1,49,1.0269629557927449,23.12632,-108.3375768661499
50,1,50,1.0284299453099568,22.697472,-16.258121808369953
51,1,51,1.0255368947982788,24.641378,-19.099945068359375
52,1,52,1.0269922415415447,22.859076,-37.090894063313804
53,1,53,1.0271270275115967,22.83046,-22.047939936319988
54,1,54,1.0268508990605671,23.050283,-17.53947385152181
55,1,55,1.0245055357615154,25.329805,-18.326859792073567
56,1,56,1.0258423487345378,23.251785,-64.64559237162273
57,1,57,1.02537202835083,23.419891,-213.6477018992106
58,1,58,1.0251352389653523,23.561987,-90.23858960469563
59,1,59,1.0246763229370117,24.440393,-18.270405451456707
60,1,60,1.0240923166275024,24.928232,-16.83342107137044
61,1,61,1.02397882938385,24.931887,-17.519761721293133
62,1,62,1.0240258773167927,24.560163,-19.70225207010905
63,1,63,1.0250596205393474,23.084534,-45.0019261042277
64,1,64,1.0255857308705647,22.591227,-34.36470858256022
65,1,65,1.024194876352946,23.722406,-25.039767901102703
66,1,66,1.0250110228856404,23.408594,-15.639061292012533
67,1,67,1.0233969291051228,24.906977,-16.83837381998698
68,1,68,1.0238608916600545,24.083548,-16.909201939900715
69,1,69,1.024485429128011,22.97029,-23.62320868174235
70,1,70,1.025261362393697,22.363955,-20.88858922322591
