,Tree depth,No.Estimators,Train MAPE,Train RMSE,Train R2
0,1,1,0.05304422540127386,0.26973916531298703,0.0009371715489420174
1,2,1,0.0530479954607554,0.2697474878357862,0.0008755204985350096
2,3,1,0.05302613371094537,0.2696323527944718,0.0017282416073705065
3,4,1,0.0530340592443709,0.269705080520543,0.001189642839961036
4,1,3500,0.024985695976633755,0.15216922172331318,0.6820502989510662
5,2,3500,0.020562899280977605,0.12168435103735112,0.7966827426095185
6,3,3500,0.01626574014863523,0.0932469748559428,0.8806082591779877
7,4,3500,0.013562458882051372,0.0779636493556429,0.916537939695319
8,1,7000,0.02245979333665921,0.1367989535807305,0.7430371544851206
9,2,7000,0.016082369937037575,0.09151371493060335,0.8850054777438003
10,3,7000,0.01089966443935201,0.06090503155431744,0.9490656078997419
11,4,7000,0.007670308636363119,0.04374642271883347,0.9737221473792221
12,1,10500,0.021039614848717022,0.12544915405872487,0.7839072201629889
13,2,10500,0.012807425682010144,0.0715574772531454,0.9296903680493661
14,3,10500,0.007263783075998718,0.04032593314758036,0.9776707758278576
15,4,10500,0.004474104366782889,0.026010912156872765,0.9907099950161532
