,Tree depth,No.Estimators,Train MAPE,Train RMSE,Train R2
0,1,1,0.0854418177228239,0.9835675447447894,1.6895310183673296e-05
1,2,1,0.08542608152139672,0.9832142488582832,0.000735150947559271
2,3,1,0.0854148346539297,0.9831934685245056,0.0007773896309060113
3,4,1,0.08539859794244109,0.9831505170446078,0.0008646911718206418
4,1,4000,0.06310707735071368,0.7927138865200793,0.35044307792475216
5,2,4000,0.05239754677541618,0.6463639412163081,0.5681444315680693
6,3,4000,0.044268537651215634,0.5367414346825327,0.7022069701485679
7,4,4000,0.0373320717398244,0.4539190222404486,0.7870189082222299
8,1,8000,0.05701207256574136,0.7242039495035506,0.45786672904928305
9,2,8000,0.04056402655731301,0.49427301784861427,0.7474670282970144
10,3,8000,0.029133697759114906,0.3516147269125884,0.8722036658285355
11,4,8000,0.020767041292770932,0.2546758229773496,0.9329560305476279
12,1,12000,0.05292461963034624,0.6790362837907269,0.5233822136600749
13,2,12000,0.03189231077108577,0.3889018769934413,0.8436620685103174
14,3,12000,0.019475531432401622,0.23816618847042917,0.9413666786626561
15,4,12000,0.012066352306174942,0.14760035874018188,0.9774804810499965
