,No. Deep Layers,Epoch,Train MAPE,Train RMSE,Train R2,Train Pearson Correlation coefficient,Train CRMSD,Train data Standard Deviation,Train data based prediction Standard Deviation
0,1,0,1.4146074453989665,24.21876,-49.63661575317383,0.810589,4.079611,4.087677927606792,5.7648406
1,1,1,1.2832810878753662,23.112547,-32.91785558064779,0.74664,3.509097,4.087677927606792,4.653614
2,1,2,1.337877909342448,22.507303,-27.74785041809082,0.7643258,3.7402494,4.087677927606792,5.108799
3,1,3,1.2995241085688274,22.032286,-74.2348804473877,0.8132422,3.5378883,4.087677927606792,4.9845424
4,1,4,1.2705288728078206,21.683222,-266.87481053670246,0.43312848,4.118062,4.087677927606792,4.8125186
5,1,5,1.1299891869227092,20.719358,-28.386079788208008,0.6037849,3.9894722,4.087677927606792,4.729163
6,1,6,1.1658589442571003,19.689024,-66.14354642232259,0.7791051,3.5045044,4.087677927606792,4.665436
7,1,7,1.1505043506622314,18.783035,-225.4593645731608,0.79297024,2.7611046,4.087677927606792,3.7261202
8,1,8,1.1052656173706055,19.354807,-19.413639068603516,0.71732736,3.650214,4.087677927606792,4.40628
9,1,9,1.0330484708150227,17.860083,-499.61317412058514,0.7591751,3.879811,4.087677927606792,4.6678557
10,1,10,0.9722244739532471,16.855932,-20.14565594991048,0.7429549,3.1006672,4.087677927606792,4.417069
11,1,11,0.9408299525578817,16.489634,-15.077228546142578,0.77216643,3.4695203,4.087677927606792,4.6417847
12,1,12,0.9440430005391439,15.93127,-17.111810048421223,0.5388086,3.6094377,4.087677927606792,4.002869
13,1,13,0.8669548034667969,14.601829,-22.81692345937093,0.4659425,3.1241615,4.087677927606792,3.4886055
14,1,14,0.807576576868693,14.234181,-16.103566487630207,0.51909214,3.45001,4.087677927606792,3.9699352
15,1,15,0.8281258742014567,14.09401,-27.753875096638996,0.58837724,3.3244312,4.087677927606792,3.9172113
16,1,16,0.7681750257809957,13.428905,-9.528708299001059,0.783263,2.721037,4.087677927606792,4.2335396
17,1,17,0.7565212249755859,13.000697,-25.913069407145183,0.5069695,3.2442539,4.087677927606792,3.7087002
18,1,18,0.7211173176765442,12.625562,-19.837117195129395,0.6551569,3.5877056,4.087677927606792,3.9960415
19,1,19,0.735322117805481,11.958871,-8.308900833129883,0.5216827,3.4483795,4.087677927606792,3.148692
20,1,20,0.6769812703132629,11.7115965,-390.6581908861796,0.39293203,2.8386269,4.087677927606792,3.2550192
21,1,21,0.6426375905672709,10.89669,-16.679387251536053,0.76943827,2.9282563,4.087677927606792,3.7434719
22,1,22,0.6987746159235636,11.663422,-20.76608681678772,0.70424145,2.639904,4.087677927606792,3.3490245
23,1,23,0.6364512046178182,10.713706,-36.77596012751261,0.60607785,2.389627,4.087677927606792,2.7488518
24,1,24,0.5500072042147318,9.608673,-9.315114339192709,0.7678706,2.8612225,4.087677927606792,3.6981173
25,1,25,0.5415860811869303,9.092298,-3.652834097544352,0.7182234,3.39766,4.087677927606792,2.9266205
26,1,26,0.46115342775980633,7.9391274,-3.0095340410868325,0.76452047,2.8127892,4.087677927606792,3.0963585
27,1,27,0.5053832431634268,8.405394,-15.03297233581543,0.72705823,2.643383,4.087677927606792,3.1440687
28,1,28,0.4694145917892456,7.9587893,-9.376614570617676,0.6231284,3.2022295,4.087677927606792,3.4317133
29,1,29,0.4220975935459137,7.3783946,-2.880988121032715,0.65327376,3.2688274,4.087677927606792,2.7620428
30,1,30,0.35942737261454266,6.570934,-1.7267576853434246,0.7905491,2.71822,4.087677927606792,2.9290893
31,1,31,0.34781397382418316,6.0691857,-3.364802678426107,0.774365,2.7405393,4.087677927606792,3.0992854
32,1,32,0.3708920975526174,6.417581,-2.4981107314427695,0.79567456,2.52036,4.087677927606792,2.9962204
33,1,33,0.3310447732607524,5.7613735,-1.41841721534729,0.43383753,3.294918,4.087677927606792,2.5238063
34,1,34,0.24087755382061005,4.7050805,-0.48386939366658527,0.72019196,3.0081904,4.087677927606792,2.968936
35,1,35,0.2596980730692546,4.8279138,-1.9850059350331624,0.5793473,2.823702,4.087677927606792,2.5438833
36,1,36,0.2936895688374837,5.122668,-0.5497253735860189,0.74849147,3.2127402,4.087677927606792,2.7731287
37,1,37,0.2443112184604009,4.3866186,-1.3477966984113057,0.8038492,2.289086,4.087677927606792,2.81981
38,1,38,0.23394139111042023,4.2928185,-5.260620554288228,0.18039967,3.0567951,4.087677927606792,2.6238618
39,1,39,0.1990236391623815,3.7457154,-1.7464252710342407,0.5776435,3.0936728,4.087677927606792,2.7007282
40,1,40,0.18585790693759918,3.453295,0.010344286759694418,0.7419861,2.5423899,4.087677927606792,2.7601879
41,1,41,0.16291147222121558,2.9966621,0.23511352141698202,0.64980143,2.6482708,4.087677927606792,2.0558112
42,1,42,0.1539090151588122,3.107144,0.36636441946029663,0.79549885,2.5372446,4.087677927606792,2.5256498
43,1,43,0.1790152390797933,3.2098835,-0.9916653434435526,0.21353523,2.8244207,4.087677927606792,2.1165743
44,1,44,0.1846794734398524,3.3718348,-1.9949892560640972,0.35223356,2.9351127,4.087677927606792,2.3911235
