,Tree depth,No.Estimators,Train MAPE,Train RMSE,Train R2,Train Pearson Correlation coefficient
0,1,1,0.16400789380052355,4.086189607262762,0.0007280658712575105,0.5109865228849831
1,61,1,0.16395306468752086,4.08482712186269,0.0013943425573051949,0.7502874701341924
2,121,1,0.16393730096395084,4.084105094971764,0.0017473349329765187,0.8067377448497316
3,181,1,0.16395802205106533,4.085058953935466,0.0012809887324698455,0.6544340954721171
4,241,1,0.16394529280643383,4.084711801174246,0.0014507259796135985,0.777904952813683
5,301,1,0.16391773556987332,4.084553874195476,0.0015279381939105052,0.7734480769175431
6,361,1,0.16395152666108603,4.085532641173946,0.0010493603109140714,0.5244400136068267
7,421,1,0.16393681231100787,4.084635139634854,0.0014882070112678392,0.7247635591668977
8,481,1,0.16391291613981826,4.084265651685035,0.0016688456122440076,0.7616491539354252
9,541,1,0.1639225836501873,4.084547733273496,0.0015309404970313967,0.7760978411193897
10,1,1250,0.1222277829460549,2.8376433076956884,0.5180940734135783,0.7775914439423288
11,61,1250,0.08755078241396562,2.1785415579684613,0.7159607494805492,0.9237420874378448
12,121,1250,0.08660530803362046,2.1619435607366864,0.7202723708872991,0.9242192040989524
13,181,1250,0.0873065675821402,2.1700809175582925,0.7181626698219523,0.9229758626819253
14,241,1250,0.08711081728814926,2.1773434319592657,0.7162730880094823,0.9223789270770703
15,301,1250,0.08715442908225683,2.1780353630701557,0.716092729993016,0.9242805597703228
16,361,1250,0.08734117989917516,2.160777768997794,0.7205739663979185,0.9252169409418223
17,421,1250,0.08722691854070269,2.1739985712455234,0.7171441477000955,0.9233159771352912
18,481,1250,0.08698439968546173,2.1609230458484374,0.7205363915030111,0.9222510758913596
19,541,1250,0.0872955297140631,2.1778309663353763,0.7161460137891078,0.9223122875738861
20,1,2500,0.10849133298769897,2.5440218499909237,0.6126635800512912,0.7993324875869474
21,61,2500,0.05713920184601588,1.491224343627328,0.8669139211331278,0.9524511221895877
22,121,2500,0.05711080508198724,1.4924257245303243,0.8666993974371953,0.9509177309353715
23,181,2500,0.05733230638509777,1.491850372476818,0.8668021563091126,0.9517894549117641
24,241,2500,0.05730323221868412,1.4801788866276295,0.8688781493271429,0.9527279766464432
25,301,2500,0.056778311468386064,1.4766951380859954,0.8694946396760387,0.9516089786352011
26,361,2500,0.056556030250755465,1.4853802874735151,0.8679549965547099,0.9524848363961427
27,421,2500,0.05682975192312352,1.4872818399648096,0.86761669769917,0.9516934817150903
28,481,2500,0.05669907879915034,1.483037997503934,0.8683711106400773,0.9526085197351811
29,541,2500,0.05728391539212555,1.496106932199444,0.8660409896116195,0.9510378721690689
30,1,3750,0.10104286103940882,2.4193825057037857,0.6496874211314847,0.8160617229098419
31,61,3750,0.04066944837354191,1.1217097006792038,0.9246978091977517,0.9702875314476935
32,121,3750,0.04005015072377607,1.1091774287895546,0.9263710331250808,0.9715905022114255
33,181,3750,0.0400625539512833,1.1094955242830504,0.9263287956969689,0.9716552384735908
34,241,3750,0.04045731754793887,1.112401948181838,0.9259423133774413,0.9709146037138511
35,301,3750,0.040695038977828966,1.121811305325053,0.9246841668107059,0.9696615596531888
36,361,3750,0.04046276747267341,1.11690249019016,0.9253418578313384,0.9705120798108349
37,421,3750,0.04023768538048868,1.1213935872603098,0.924740245629952,0.9705006856334331
38,481,3750,0.04052731725665975,1.1286452334651926,0.9237637433114537,0.9700986949061401
39,541,3750,0.04066224439873777,1.1260159706822392,0.9241185256125022,0.9699460763210048
