,Tree depth,No.Estimators,Train MAPE,Train RMSE,Train R2,Train Pearson Correlation coefficient
0,1,1,0.053932035610245,0.2672491010575409,0.0011112497996659254,0.6618233554262988
1,2,1,0.053918388070628626,0.26720493905233905,0.0014413484623142514,0.7436779630400474
2,3,1,0.05392318394749132,0.2672035971962825,0.0014513776078438623,0.7262011092203109
3,4,1,0.05391666561964647,0.26717472642998547,0.0016671479550086632,0.8144681269274102
4,1,3500,0.023895510287189357,0.14799232339500862,0.6936887181709408,0.840181635274977
5,2,3500,0.019992599800829597,0.11928732770187195,0.8009907628399346,0.9023348812393213
6,3,3500,0.01570732979534352,0.09209044483373129,0.8813920615318563,0.9463237123403632
7,4,3500,0.013205241880914109,0.07749567327675932,0.9160076896611631,0.9637669505489068
8,1,7000,0.02203175925189818,0.1332746200600651,0.7515840242372624,0.8696595847106005
9,2,7000,0.016195087238700317,0.09226632108696722,0.8809385890875314,0.9424423722636267
10,3,7000,0.01107254173604604,0.06165413022991364,0.9468370628637602,0.9757788075831297
11,4,7000,0.0075524040068256325,0.04369671619222877,0.9732956373093782,0.9883095160989872
12,1,10500,0.02128106404339905,0.12442759777734108,0.7834700133298989,0.8873738901497713
13,2,10500,0.013268588580890188,0.07395151765302688,0.9235145549370843,0.9638574170575642
14,3,10500,0.007492118279995233,0.042659606784900425,0.9745482111328142,0.988609327491565
15,4,10500,0.004705926999054432,0.027616200823768224,0.9893337322754923,0.995334436793418
