,No. Neurons,Epoch,Train MAPE,Train RMSE,Train R2
0,1,0,1.1733646392822266,4.8640785,-383.3539326985677
1,1,1,1.170384367307027,4.9151807,-460.01659138997394
2,1,2,1.169729232788086,4.9201527,-315.43231201171875
3,1,3,1.1727303663889568,4.8320975,-291.4631093343099
4,1,4,1.1688316663106282,4.88957,-580.0509236653646
5,1,5,1.1659436623255413,4.943584,-1091.5872599283855
6,1,6,1.16739022731781,4.8866963,-369.3351135253906
7,1,7,1.1672100226084392,4.8669477,-548.0997416178385
8,1,8,1.1671717564264934,4.8496394,-372.4128112792969
9,1,9,1.165098508199056,4.8865705,-306.4640197753906
10,1,10,1.16364324092865,4.893495,-1094.265889485677
11,1,11,1.1638383865356445,4.8660355,-1050.3663940429688
12,1,12,1.1655638217926025,4.803821,-425.28404744466144
13,1,13,1.165570616722107,4.7835064,-425.06297810872394
14,1,14,1.1634010076522827,4.8170733,-364.4311930338542
15,1,15,1.1602788766225178,4.873781,-575.231201171875
16,1,16,1.1611510515213013,4.8346133,-316.7858072916667
17,1,17,1.160110870997111,4.834068,-482.75799560546875
18,1,18,1.1578956842422485,4.8806005,-314.3282063802083
19,1,19,1.1571231285730998,4.8687253,-994.4903717041016
20,1,20,1.1581052144368489,4.8238087,-353.6631673177083
21,1,21,1.1584824323654175,4.7900577,-405.4622090657552
22,1,22,1.1579459110895793,4.7793746,-634.8900451660156
23,1,23,1.1555992364883423,4.819374,-737.0566609700521
24,1,24,1.1525765657424927,4.886291,-405.21397908528644
25,1,25,1.1534328858057659,4.841618,-335.54079182942706
26,1,26,1.1549432277679443,4.7711635,-462.0413513183594
27,1,27,1.1494958400726318,4.905474,-537.1561482747396
28,1,28,1.1536733309427898,4.7620525,-372.0287679036458
29,1,29,1.1519420941670735,4.796978,-292.74916585286456
30,1,30,1.1487671534220378,4.8552065,-354.24122111002606
31,1,31,1.149922251701355,4.794647,-427.0705057779948
32,1,32,1.1493468681971233,4.790209,-353.22400919596356
33,1,33,1.1478421290715535,4.8136697,-337.47446695963544
34,1,34,1.1505246957143147,4.721434,-312.0555775960286
35,1,35,1.1464465459187825,4.809336,-306.4756164550781
36,1,36,1.145984689394633,4.7867365,-818.6309967041016
37,1,37,1.1439824899037678,4.8278975,-346.7357889811198
38,1,38,1.1445116599400837,4.7835693,-486.21417744954425
39,1,39,1.1424288352330525,4.8211327,-701.7785237630209
40,1,40,1.1442851622899373,4.7613673,-277.71785227457684
41,1,41,1.14333975315094,4.746998,-364.4842224121094
42,1,42,1.1435736020406086,4.7133374,-745.4790496826172
43,1,43,1.1390550931294758,4.8284,-427.4315999348958
44,1,44,1.1407455205917358,4.750329,-360.47235107421875
45,1,45,1.1377662420272827,4.816203,-595.0643920898438
46,1,46,1.1387628714243572,4.7609525,-372.6762237548828
47,1,47,1.1391152540842693,4.7245135,-381.54041544596356
48,1,48,1.1373458703358967,4.7498345,-1099.8538665771484
49,1,49,1.1367663939793904,4.7428765,-875.9035034179688
50,1,50,1.1383349498112996,4.6804676,-290.96277872721356
51,1,51,1.1361575524012248,4.732907,-273.90381876627606
52,1,52,1.1354207595189412,4.710832,-411.2582499186198
53,1,53,1.1353979110717773,4.6910033,-321.5829366048177
54,1,54,1.1339566310246785,4.7067695,-350.7263590494792
55,1,55,1.1331764856974285,4.7083173,-329.3629150390625
56,1,56,1.1307604710261028,4.7525563,-5445.023824055989
57,1,57,1.1302964289983113,4.7406635,-5339.698465983073
58,1,58,1.1306257645289104,4.7076306,-393.5151672363281
59,1,59,1.1282540957132976,4.7577376,-667.6225535074869
60,1,60,1.1284972031911213,4.7206287,-1053.7944946289062
61,1,61,1.128117839495341,4.7102494,-376.3174235026042
62,1,62,1.1267163356145222,4.735487,-294.5713704427083
63,1,63,1.126771092414856,4.697286,-746.5206197102865
64,1,64,1.1268719832102458,4.6699543,-396.02735900878906
65,1,65,1.1249864101409912,4.7068176,-352.3426818847656
66,1,66,1.126079758008321,4.6421094,-401.3779042561849
67,1,67,1.1224778493245442,4.743183,-304.14357503255206
68,1,68,1.1237318118413289,4.6660285,-371.2977752685547
69,1,69,1.1236976782480876,4.6396656,-381.4418436686198
70,1,70,1.1236055692036946,4.615436,-414.3580627441406
71,1,71,1.1191562016805012,4.7429013,-461.8078308105469
72,1,72,1.120781699816386,4.6604676,-332.50750732421875
73,1,73,1.1199921369552612,4.6535983,-421.5828908284505
74,1,74,1.1177249749501545,4.7046676,-866.9925791422526
75,1,75,1.1171725591023762,4.7002926,-329.43886311848956
76,1,76,1.1182746092478435,4.6318364,-320.0257568359375
77,1,77,1.1161679029464722,4.673458,-736.6233927408854
78,1,78,1.1170409123102825,4.6156898,-392.414555867513
79,1,79,1.1164857149124146,4.61029,-298.2830810546875
80,1,80,1.115695595741272,4.6031184,-684.4708048502604
81,1,81,1.114777684211731,4.6065636,-726.6837259928385
82,1,82,1.1149852275848389,4.5733933,-394.7515869140625
83,1,83,1.1132465600967407,4.6107864,-290.56902567545575
84,1,84,1.1105035146077473,4.679827,-402.3132069905599
85,1,85,1.1145212650299072,4.5123954,-312.9785664876302
86,1,86,1.1110453208287556,4.5960183,-448.3530985514323
87,1,87,1.1093958616256714,4.6301537,-353.90440368652344
88,1,88,1.1075667540232341,4.668426,-806.0259755452474
89,1,89,1.109193245569865,4.5773454,-344.98875427246094
90,1,90,1.105683167775472,4.6817183,-1013.1397349039713
91,1,91,1.1064678033192952,4.61746,-502.22935485839844
92,1,92,1.1070966720581055,4.5657196,-310.7699686686198
93,1,93,1.1046157677968342,4.6268716,-800.4462890625
94,1,94,1.1047170956929524,4.593993,-360.0970204671224
95,1,95,1.1043083667755127,4.5788875,-338.1150767008464
96,1,96,1.1024743715922039,4.6160417,-4569.46772257487
97,1,97,1.1024877230326335,4.585158,-470.88245646158856
98,1,98,1.1035866737365723,4.513235,-337.3429768880208
99,1,99,1.1014543374379475,4.563725,-355.55296834309894
100,1,100,1.099677046140035,4.6015553,-926.4328562418619
101,1,101,1.0997005303700764,4.5665317,-777.349355061849
102,1,102,1.0988618930180867,4.5707946,-400.53289794921875
103,1,103,1.0974302291870117,4.602348,-303.1008605957031
104,1,104,1.0968270301818848,4.5879683,-929.8392639160156
105,1,105,1.096023718516032,4.5979934,-274.6621856689453
106,1,106,1.0951411724090576,4.5926995,-3031.3277893066406
107,1,107,1.0953306357065837,4.5550084,-310.2980041503906
108,1,108,1.0943516095479329,4.561304,-343.2001241048177
109,1,109,1.09332275390625,4.5726914,-347.25791422526044
110,1,110,1.0929930210113525,4.555208,-327.38694254557294
111,1,111,1.092859109242757,4.528574,-271.32501729329425
112,1,112,1.0927611589431763,4.4903917,-408.4433339436849
113,1,113,1.0919848283131917,4.501884,-256.3949432373047
114,1,114,1.08948810895284,4.5698867,-308.8070882161458
115,1,115,1.0899672905604045,4.506246,-549.6737162272135
116,1,116,1.0891061226526897,4.512166,-343.4779510498047
117,1,117,1.0883958737055461,4.5053177,-604.9988606770834
118,1,118,1.0875100294748943,4.512491,-343.69336954752606
119,1,119,1.0860862334569295,4.550026,-264.26421610514325
120,1,120,1.0865714152654011,4.482901,-337.55491129557294
121,1,121,1.086036245028178,4.470428,-334.1736602783203
122,1,122,1.0844273567199707,4.513656,-277.57129923502606
123,1,123,1.0837811628977458,4.5007935,-418.87708536783856
124,1,124,1.0829736391703289,4.5020165,-407.5231526692708
125,1,125,1.0813530683517456,4.5511165,-296.6036326090495
126,1,126,1.081500252087911,4.4994597,-325.0207112630208
127,1,127,1.0808621247609456,4.497799,-265.2240397135417
128,1,128,1.0810105403264363,4.443213,-381.69919840494794
129,1,129,1.0791589419047039,4.4952826,-757.7246551513672
130,1,130,1.0783356825510662,4.5025063,-299.27736409505206
131,1,131,1.0781515041987102,4.469234,-365.5952962239583
132,1,132,1.0775272846221924,4.462761,-311.3878987630208
133,1,133,1.0757755438486736,4.5136046,-379.13153076171875
134,1,134,1.0760982036590576,4.4541955,-312.7734883626302
135,1,135,1.0746248960494995,4.488816,-560.3206634521484
136,1,136,1.073387622833252,4.5181212,-420.21864827473956
137,1,137,1.073507269223531,4.4641213,-551.4868570963541
138,1,138,1.0742076237996419,4.397188,-252.9704793294271
139,1,139,1.0720314582188923,4.474678,-263.3247426350911
140,1,140,1.07081135114034,4.490326,-318.7350565592448
141,1,141,1.070116360982259,4.4838147,-385.75965881347656
142,1,142,1.0694543520609539,4.476799,-411.10218302408856
143,1,143,1.0691611369450886,4.4494843,-322.0807393391927
144,1,144,1.0692431926727295,4.3996296,-323.97242736816406
145,1,145,1.0686021248499553,4.3881755,-403.5328877766927
146,1,146,1.0677155256271362,4.3952823,-347.6228739420573
147,1,147,1.0669029156366985,4.39646,-403.5649922688802
148,1,148,1.0658503373463948,4.412482,-401.18748982747394
149,1,149,1.0657652219136555,4.3718963,-334.5618184407552
150,1,150,1.0635780096054077,4.464256,-298.28600056966144
151,1,151,1.0630693038304646,4.4511886,-252.54983520507812
152,1,152,1.0622004270553589,4.4476047,-4979.554824829102
153,1,153,1.0631479819615681,4.343615,-284.2553304036458
154,1,154,1.0604278246561687,4.4659486,-3299.3784993489585
155,1,155,1.061557451883952,4.338516,-591.9482014973959
156,1,156,1.058653752009074,4.488639,-532.4887440999349
157,1,157,1.0595425764719646,4.3736043,-270.678466796875
158,1,158,1.0584010283152263,4.393417,-526.6248830159506
159,1,159,1.058215896288554,4.3538756,-437.4505310058594
160,1,160,1.057439645131429,4.353786,-394.9049123128255
161,1,161,1.0558321475982666,4.4127984,-1242.6623992919922
162,1,162,1.0561983585357666,4.344045,-247.6003214518229
163,1,163,1.0549405415852864,4.382071,-282.32691701253253
164,1,164,1.0543810923894246,4.3574862,-261.6687520345052
165,1,165,1.0532179673512776,4.3825207,-352.41289774576825
166,1,166,1.0525438785552979,4.3749723,-373.35313415527344
167,1,167,1.0523391564687092,4.337439,-271.73179117838544
168,1,168,1.0518365701039631,4.3121867,-351.6662343343099
169,1,169,1.0505956013997395,4.347093,-384.99061075846356
170,1,170,1.0505600770314534,4.2920537,-330.0320332845052
171,1,171,1.0485068559646606,4.3939466,-764.6790568033854
172,1,172,1.048643946647644,4.323733,-263.06512959798175
173,1,173,1.0475732882817586,4.3465023,-305.54583231608075
174,1,174,1.0464617013931274,4.38582,-242.02940368652344
175,1,175,1.0457874139149983,4.366571,-1192.1253407796223
176,1,176,1.046032150586446,4.2795734,-387.3193766276042
177,1,177,1.044323484102885,4.3691373,-316.6109924316406
178,1,178,1.0437008142471313,4.352883,-370.71295166015625
179,1,179,1.0433875719706218,4.3154206,-259.7859344482422
180,1,180,1.0418384472529094,4.3887877,-484.67148844401044
181,1,181,1.0419601996739705,4.3000216,-508.9382680257161
182,1,182,1.0409339269002278,4.3299046,-293.58237711588544
183,1,183,1.0399622122446697,4.348583,-888.4085235595703
184,1,184,1.0392768383026123,4.3548927,-235.3775634765625
185,1,185,1.0383334159851074,4.3755913,-258.117182413737
186,1,186,1.0382817188898723,4.29331,-281.5663706461589
187,1,187,1.0366774797439575,4.3915787,-287.92311604817706
188,1,188,1.0360134045283,4.3789964,-356.7324727376302
189,1,189,1.0356563329696655,4.3282623,-1090.91650390625
190,1,190,1.0350605646769206,4.3124595,-374.16790262858075
191,1,191,1.0346699555714924,4.2698007,-353.8267415364583
192,1,192,1.0339399178822835,4.271128,-258.89430236816406
193,1,193,1.0337082942326863,4.2139297,-247.90333048502603
194,1,194,1.032417933146159,4.269031,-316.45458984375
195,1,195,1.0313022534052532,4.322307,-253.37571716308594
196,1,196,1.0314522584279378,4.2096424,-243.8468017578125
197,1,197,1.0298819144566853,4.3124166,-258.9322153727214
198,1,198,1.029510776201884,4.2565274,-318.29307556152344
199,1,199,1.0287765264511108,4.2530494,-356.7923227945964
200,1,200,1.0280900796254475,4.2479067,-251.34388224283853
201,3,0,1.0297280550003052,4.25305,-233.288330078125
202,3,1,1.0286069711049397,4.2487464,-510.50604756673175
203,3,2,1.0274895826975505,4.2585845,-388.0093688964844
204,3,3,1.0269094705581665,4.20166,-234.31084187825522
205,3,4,1.025431712468465,4.262888,-257.2547963460286
206,3,5,1.0247479279836018,4.2058616,-380.665283203125
207,3,6,1.0235264301300049,4.2425694,-787.9344177246094
208,3,7,1.022250771522522,4.306492,-290.59767150878906
